ClientID,NoOfVisit,TotalPurchase,Duration,category,survey,member,Sex,Store,InActivePeriod
11,6,1234.84,311,Regular 1,,1,M,,57
13,1,264.05,,Walkin 1,,0,,,91
18,,3019.4,,Loyal 1,Signage,,,214,
20,,837.08,0,Walkin 1,EXISTING CLIENTS,,F,207,268
27,8,2584.26,204,Loyal 1,Others,0,M,214,349
39,5,3483.16,328,Freq 1,EXISTING CLIENTS,1,M,207,203
43,2,549.44,0,Repeat 1,Reference,1,F,207,416
50,1,2599.2,0,Walkin 1,EXISTING CLIENTS,0,F,,0
52,1,179.78,0,Walkin 1,EXISTING CLIENTS,0,M,207,119
63,1,247.19,0,Walkin 1,Signage,0,M,207,140
68,5,1224.72,158,Loyal 1,Reference,0,M,207,315
77,10,16640.5,378,Loyal 1,Reference,0,M,214,133
81,1,275.28,0,Walkin 1,Signage,0,F,207,229
92,5,4549.46,240,Loyal 1,Reference,1,M,207,251
103,1,101.12,0,Repeat 1,Others,0,F,214,552
104,2,1886.52,0,Repeat 1,EXISTING CLIENTS,1,M,207,182
114,21,49390.44,498,Regular 1,Hoardings,1,M,,58
116,2,348.32,8,Repeat 1,Reference,0,M,207,470
122,2,1258.42,133,Repeat 1,Others,0,F,207,162
128,9,2191.01,482,Loyal 1,EXISTING CLIENTS,1,M,207,56
149,2,2201.13,0,Repeat 1,EXISTING CLIENTS,1,F,207,323
151,13,12827.84,445,Regular 1,Signage,0,M,207,99
152,1,188.1,0,Walkin 1,Signage,0,F,207,34
160,1,202.25,0,Walkin 1,Reference,0,M,207,235
163,1,112.36,0,Walkin 1,Signage,0,M,207,205
179,1,134.83,0,Loyal 1,EXISTING CLIENTS,1,F,207,549
184,17,16429.77,537,Regular 1,Signage,1,F,214,25
187,1,1943.82,0,Walkin 1,EXISTING CLIENTS,0,F,207,96
195,1,84.27,0,Walkin 1,EXISTING CLIENTS,0,M,207,119
199,3,483.14,231,Repeat 1,Signage,0,M,207,313
200,1,3646.08,0,Walkin 1,Signage,0,F,207,228
207,1,650.01,0,Walkin 1,EXISTING CLIENTS,0,M,207,34
209,1,957.6,0,Walkin 1,EXISTING CLIENTS,0,M,207,39
213,3,644.06,116,Repeat 1,EXISTING CLIENTS,0,M,207,39
216,,,,,,,,,
219,1,758.43,0,Walkin 1,Others,0,F,214,541
224,2,712.36,0,Repeat 1,Signage,1,F,207,353
230,1,144.94,0,Repeat 1,Reference,1,F,207,389
231,18,12700.37,255,Loyal 1,EXISTING CLIENTS,1,M,207,12
245,,,,,,,,,
260,2,380.9,0,Repeat 1,Reference,1,F,,557
262,6,1254.61,342,Regular 1,Signage,1,F,207,22
271,9,4846.73,525,Loyal 1,EXISTING CLIENTS,1,M,207,22
274,1,780.89,0,Walkin 1,Reference,0,F,207,470
277,5,4101.13,186,Regular 1,EXISTING CLIENTS,1,M,207,319
279,1,1612.37,0,Walkin 1,EXISTING CLIENTS,0,F,207,294
291,1,889.2,0,Walkin 1,EXISTING CLIENTS,0,M,207,39
294,2,213.5,16,Repeat 1,EXISTING CLIENTS,0,M,207,83
301,3,556.19,63,Loyal 1,Reference,0,M,207,401
304,1,101.12,0,Walkin 1,EXISTING CLIENTS,0,M,207,222
308,1,1848.32,0,Walkin 1,EXISTING CLIENTS,0,M,207,302
312,6,7022.5,372,Regular 1,Signage,0,M,214,108
313,1,926.97,0,Walkin 1,Reference,0,F,207,515
314,1,117.99,0,Walkin 1,EXISTING CLIENTS,0,F,207,190
326,8,2207.88,333,Freq 1,Reference,1,F,207,202
327,1,442.42,0,Walkin 1,Signage,0,M,207,57
328,5,996.52,327,Freq 1,Signage,0,M,207,10
329,3,1070.34,0,Repeat 1,EXISTING CLIENTS,1,F,207,281
331,2,443.83,139,Repeat 1,Reference,0,M,207,104
342,2,1476.41,0,Repeat 1,Signage,1,F,207,374
364,1,235.96,0,Repeat 1,EXISTING CLIENTS,1,M,207,435
370,1,179.78,0,Walkin 1,EXISTING CLIENTS,0,M,207,103
371,4,1213.41,190,Regular 1,EXISTING CLIENTS,0,M,207,21
378,1,22.47,0,Walkin 1,EXISTING CLIENTS,0,M,207,343
384,1,764.05,0,Walkin 1,EXISTING CLIENTS,0,F,207,146
385,2,213.48,83,Repeat 1,Reference,0,M,207,465
393,2,8696.66,0,Regular 1,Others,1,M,207,524
395,1,168.54,0,Walkin 1,Reference,0,M,207,484
396,,,,,,,,,
397,,,,,,,,,
404,3,404.49,70,Loyal 1,Reference,1,M,214,479
407,3,783.36,96,Repeat 1,EXISTING CLIENTS,0,F,207,9
417,1,303.37,0,Walkin 1,Hoardings,1,F,207,365
418,1,182.4,0,Walkin 1,Signage,0,M,207,35
422,8,1369.68,213,Loyal 1,Signage,1,M,207,85
426,2,717.98,0,Repeat 1,EXISTING CLIENTS,1,F,207,374
430,18,3139.33,430,Loyal 1,Hoardings,1,M,207,108
432,3,1803.38,193,Repeat 1,Reference,1,F,214,290
434,21,7695.54,405,Loyal 1,Signage,1,M,207,106
453,4,797.74,216,Freq 1,Reference,1,F,207,317
455,1,1662.94,0,Walkin 1,EXISTING CLIENTS,0,F,207,71
459,,,,,,,,,
460,3,397.75,67,Repeat 1,EXISTING CLIENTS,1,F,207,144
467,1,134.83,0,Loyal 1,Signage,0,M,214,547
494,8,3212.38,477,Regular 1,Hoardings,1,M,,81
495,4,7382.05,111,Loyal 1,EXISTING CLIENTS,0,F,207,71
503,1,106.74,0,Walkin 1,Signage,0,M,207,456
516,1,79.8,0,Walkin 1,EXISTING CLIENTS,0,M,207,28
529,1,1972.2,0,Walkin 1,EXISTING CLIENTS,0,M,,6
531,1,2552.46,0,Walkin 1,EXISTING CLIENTS,1,M,207,39
536,1,123.6,0,Walkin 1,EXISTING CLIENTS,0,F,207,51
542,5,1931.47,97,Loyal 1,Reference,1,M,207,451
559,2,234.83,0,Repeat 1,Reference,1,M,207,346
563,3,2426.97,319,Repeat 1,EXISTING CLIENTS,1,F,207,94
568,1,168.54,0,Walkin 1,Reference,0,M,207,335
576,2,234.83,0,Repeat 1,Signage,1,M,207,359
587,1,101.12,0,Walkin 1,Signage,0,M,207,484
591,2,516.86,362,Repeat 1,EXISTING CLIENTS,0,M,207,100
595,12,7022.48,248,Loyal 1,Signage,1,F,207,283
598,2,864.05,0,Repeat 1,EXISTING CLIENTS,1,F,207,85
603,11,16821.12,385,Loyal 1,News Paper,0,M,207,1
614,2,2476.41,0,Repeat 1,EXISTING CLIENTS,1,M,207,299
619,1,168.54,0,Walkin 1,Reference,0,M,207,352
621,2,1039.34,243,Repeat 1,EXISTING CLIENTS,0,F,207,296
626,2,84.27,228,Repeat 1,Signage,0,M,207,255
635,,,,,,,,,
639,1,533.71,0,Walkin 1,EXISTING CLIENTS,0,F,207,257
644,1,275.28,0,Walkin 1,Reference,0,M,207,476
659,,,,,,,,,
663,12,2966.29,355,Freq 1,EXISTING CLIENTS,1,F,207,162
676,1,849.3,0,Walkin 1,Reference,0,F,,3
677,1,235.96,0,Walkin 1,Signage,0,M,207,437
683,15,3060.68,482,Loyal 1,Reference,1,F,,74
689,12,2773.93,542,Regular 1,Reference,1,M,207,6
701,20,5461.46,543,Loyal 1,Others,1,M,214,17
704,21,13870.53,319,Loyal 1,Reference,1,F,214,217
716,1,2408.99,0,Walkin 1,Signage,0,F,207,61
724,3,4347.21,91,Repeat 1,Signage,1,M,207,106
727,1,0,0,Walkin 1,EXISTING CLIENTS,0,M,207,479
728,1,525.01,0,Walkin 1,EXISTING CLIENTS,0,M,207,211
733,,,,,,,,,
745,3,897.76,114,Repeat 1,Reference,1,M,207,415
750,2,342.7,20,Repeat 1,EXISTING CLIENTS,0,M,207,400
756,1,67.42,0,Walkin 1,Reference,0,M,207,544
760,8,6862.05,127,Loyal 1,Signage,1,F,207,29
761,1,235.96,0,Walkin 1,Signage,0,M,207,504
767,2,562.58,0,Repeat 1,Signage,0,F,207,371
769,1,803.37,0,Walkin 1,EXISTING CLIENTS,0,M,207,110
772,1,134.83,0,Freq 1,Reference,1,M,207,473
775,2,1697.46,0,Repeat 1,EXISTING CLIENTS,1,M,,7
791,2,2380.91,0,Repeat 1,Reference,1,M,207,469
798,1,179.78,0,Walkin 1,EXISTING CLIENTS,0,M,207,132
806,1,84.27,0,Walkin 1,EXISTING CLIENTS,0,M,207,201
815,1,68.4,0,Walkin 1,Events,0,F,207,33
823,1,533.71,0,Walkin 1,Reference,0,F,214,540
826,1,235.96,0,Walkin 1,Reference,0,M,207,454
829,1,994.39,0,Walkin 1,Reference,0,F,207,514
836,17,4187.46,378,Loyal 1,Signage,1,F,207,15
844,1,9988.8,0,Walkin 1,EXISTING CLIENTS,0,M,207,224
845,6,2546.69,351,Regular 1,Reference,0,M,207,179
861,2,2101.13,343,Repeat 1,Reference,0,F,214,148
866,2,2005.61,50,Repeat 1,EXISTING CLIENTS,0,F,207,207
871,,,,,,,,,
875,1,182.4,0,Walkin 1,EXISTING CLIENTS,0,M,,12
876,6,844.83,527,Freq 1,Signage,1,M,207,22
881,2,196.63,24,Repeat 1,Signage,0,M,214,511
896,9,1371.79,504,Loyal 1,Reference,1,M,207,29
897,1,84.27,0,Walkin 1,Reference,0,M,207,74
899,2,2524.99,34,Repeat 1,Signage,0,F,207,35
908,1,106.74,0,Walkin 1,Signage,0,M,207,385
916,8,5359.03,524,Regular 1,Signage,1,M,207,23
925,1,470,0,Walkin 1,Reference,0,F,214,490
926,3,568.2,185,Freq 1,Others,0,M,,378
931,1,56.18,0,Walkin 1,Signage,0,M,207,368
936,19,9206.84,411,Loyal 1,Reference,1,F,207,64
954,3,2859.56,141,Freq 1,Reference,1,F,214,363
968,2,1055.06,0,Repeat 1,Reference,1,M,214,493
969,1,179.78,0,Walkin 1,Signage,0,M,207,252
975,1,1601.13,0,Walkin 1,EXISTING CLIENTS,1,F,207,92
993,1,467.4,0,Walkin 1,EXISTING CLIENTS,0,M,,6
996,,,,,,,,,
997,3,117.99,60,Repeat 1,EXISTING CLIENTS,0,F,207,155
1008,1,505.62,0,Walkin 1,Reference,0,M,207,507
1015,1,179.78,0,Walkin 1,EXISTING CLIENTS,0,M,207,58
1023,6,1302.26,138,Loyal 1,EXISTING CLIENTS,1,M,207,76
1024,1,2303.38,0,Freq 1,News Paper,1,M,207,479
1038,8,2820.22,404,Freq 1,News Paper,1,F,207,109
1056,2,2415.74,23,Regular 1,Others,1,M,214,530
1058,1,134.83,0,Walkin 1,Reference,0,M,207,374
1078,12,4395.71,363,Loyal 1,Hoardings,1,M,207,35
1086,1,28.09,0,Repeat 1,Reference,0,F,207,514
1087,2,1286.52,5,Repeat 1,Gift Coupon - Internal,1,F,207,451
1109,6,3848.32,487,Repeat 1,Signage,1,M,214,63
1114,2,775.28,34,Repeat 1,Hoardings,0,M,207,491
1121,1,140.45,0,Walkin 1,Reference,0,M,207,427
1137,4,7083.17,194,Regular 1,EXISTING CLIENTS,1,F,207,55
1139,16,15410.98,320,Loyal 1,Others,1,M,207,8
1145,4,6451.69,526,Repeat 1,Reference,1,M,214,25
1147,1,168.54,0,Walkin 1,Signage,0,M,207,385
1150,2,2337.81,0,Walkin 1,EXISTING CLIENTS,0,F,,6
1160,2,3584.28,143,Repeat 1,Reference,0,M,207,407
1168,1,1966.3,0,Walkin 1,Reference,0,M,207,526
1191,14,4996.26,532,Regular 1,Reference,1,M,214,28
1192,1,123.6,0,Walkin 1,Signage,0,M,207,222
1194,2,5868.66,0,Repeat 1,Reference,0,F,207,435
1202,1,917.7,0,Walkin 1,EXISTING CLIENTS,0,M,207,32
1207,4,888.13,449,Repeat 1,Gift Coupon - External,1,M,207,7
1218,4,3224.73,426,Repeat 1,Reference,1,M,214,137
1220,1,100,0,Walkin 1,EXISTING CLIENTS,1,M,207,260
1223,11,1451.26,527,Regular 1,Reference,0,M,214,32
1227,20,36832.45,530,Loyal 1,EXISTING CLIENTS,0,F,,26
1228,,,,,,,,,
1229,1,1185.4,0,Repeat 1,Reference,1,M,207,317
1232,1,56.18,0,Walkin 1,Reference,0,F,207,435
1244,1,297.75,0,Walkin 1,News Paper,0,F,207,211
1246,5,3449.16,279,Freq 1,Reference,1,F,214,228
1251,1,275.28,0,Walkin 1,Reference,0,M,207,415
1263,1,28.09,0,Walkin 1,Reference,0,F,207,412
1264,1,938.2,0,Walkin 1,Others,0,F,207,242
1285,1,84.27,0,Walkin 1,EXISTING CLIENTS,0,M,207,119
1287,1,1191.01,0,Freq 1,Reference,1,M,207,546
1305,1,837.08,0,Walkin 1,Signage,0,F,207,246
1317,1,44.94,0,Walkin 1,Reference,0,F,207,455
1329,2,1100,0,Repeat 1,Signage,1,F,207,169
1332,9,18742.27,463,Loyal 1,EXISTING CLIENTS,1,M,,95
1334,3,548.17,50,Repeat 1,EXISTING CLIENTS,1,M,207,26
1336,2,1505,67,Regular 1,EXISTING CLIENTS,0,M,,494
1349,2,601.12,322,Repeat 1,Reference,0,M,207,99
1350,1,28.09,0,Repeat 1,Reference,0,F,207,386
1351,1,1824,0,Walkin 1,EXISTING CLIENTS,0,F,,15
1354,5,4460.7,272,Regular 1,EXISTING CLIENTS,1,M,207,225
1357,,,,,,,,,
1358,46,89217.8,357,Loyal 1,Signage,1,F,214,200
1360,1,250.8,0,Walkin 1,EXISTING CLIENTS,0,M,,1
1361,6,4014.11,505,Freq 1,Reference,1,M,214,6
